package|version|typed|module|score|stubs|description
boto3|1.25.0|False|boto3|19.2%|boto3-stubs|The AWS SDK for Python|376423964
botocore|1.28.0|False|botocore|20.1%|botocore-stubs|Low-level, data-driven core of boto 3.|238905727
urllib3|1.26.12|False|urllib3|21.9%|types-urllib3|HTTP library with thread-safe connection pooling, file post, and more.|233856611
setuptools|65.5.0|False|_distutils_hack|0%|types-setuptools|Easily download, build, install, upgrade, and uninstall Python packages|214855886
setuptools|65.5.0|False|pkg_resources|9.5%|types-setuptools|Easily download, build, install, upgrade, and uninstall Python packages|214855886
setuptools|65.5.0|False|setuptools|15.3%|types-setuptools|Easily download, build, install, upgrade, and uninstall Python packages|214855886
requests|2.28.1|False|requests|13.6%|types-requests|Python HTTP for Humans.|212621430
s3transfer|0.6.0|False|s3transfer|10.1%|types-s3transfer|An Amazon S3 Transfer Manager|191496632
google-api-core|2.10.2|False|google|33.1%|None|Google API client core library|172912499
charset-normalizer|2.1.1|True|charset_normalizer|94.1%|None|The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet.|169294743
certifi|2022.9.24|True|certifi|71.4%|types-certifi|Python package for providing Mozilla's CA Bundle.|166702759
python-dateutil|2.8.2|False|dateutil|20.1%|types-python-dateutil|Extensions to the standard Python datetime module|166700747
idna|3.4|True|idna|94.4%|None|Internationalized Domain Names in Applications (IDNA)|163826476
typing-extensions|4.4.0|False|typing_extensions|30.1%|types-typing-extensions|Backported and Experimental Type Hints for Python 3.7+|162095439
six|1.16.0|False|six|4.9%|types-six|Python 2 and 3 compatibility utilities|159384285
PyYAML|6.0|False|_yaml|50%|types-PyYAML|YAML parser and emitter for Python|152896954
PyYAML|6.0|False|yaml|14.2%|types-PyYAML|YAML parser and emitter for Python|152896954
cryptography|38.0.1|True|cryptography|82.8%|types-cryptography|cryptography is a package which provides cryptographic recipes and primitives to Python developers.|138618886
awscli|1.26.0|False|awscli|29.8%|None|Universal Command Line Environment for AWS.|134047956
numpy|1.23.4|True|numpy|13.3%|None|NumPy is the fundamental package for array computing with Python.|128328565
wheel|0.37.1|False|wheel|31%|None|A built-package format for Python|113964602
pyparsing|3.0.9|True|pyparsing|29.1%|None|pyparsing module - Classes and methods to define and execute parsing grammars|111279560
rsa|4.9|True|rsa|60.7%|None|Pure-Python RSA implementation|110184314
packaging|21.3|True|packaging|76.7%|None|Core utilities for Python packages|109874716
pyasn1|0.4.8|False|pyasn1|7.9%|None|ASN.1 types and codecs|106674235
pip|22.3|True|pip|42.9%|None|The PyPA recommended tool for installing Python packages.|106506648
pytz|2022.5|False|pytz|21.6%|types-pytz|World timezone definitions, modern and historical|106042945
jmespath|1.0.1|False|jmespath|21.9%|types-jmespath|JSON Matching Expressions|102854622
PyJWT|2.6.0|True|jwt|38.4%|types-PyJWT|JSON Web Token implementation in Python|101884675
importlib-metadata|4.13.0|True|importlib_metadata|8.8%|None|Read metadata from Python packages|101600292
pandas|1.5.1|False|pandas|8.7%|pandas-stubs|Powerful data structures for data analysis, time series, and statistics|100256846
zipp|3.10.0|False|zipp|11.4%|None|Backport of pathlib-compatible object wrapper for zip files|99617758
colorama|0.4.6|False|colorama|35.3%|types-colorama|Cross-platform colored terminal text.|96392667
oauthlib|3.2.2|False|oauthlib|22.3%|types-oauthlib|A generic, spec-compliant, thorough implementation of the OAuth request-signing logic|91619622
attrs|22.1.0|True|attr|99%|types-attrs|Classes Without Boilerplate|90504247
